Names,Race or Ethnicity
"Koeltl, John George",White
"Kollar-Kotelly, Colleen",White
"Komitee, Eric Ross",White
"Kopf, Richard George",White
"Korman, Edward Robert",White
"Kornmann, Charles B.",White
"Kovachevich, Elizabeth Anne",White
"Kovner, Rachel Peter",White
"Krause, Cheryl Ann",White
"Krieger, Marcia S.",White
"Kronstadt, John Arnold",White
"Kugler, Robert B.",White
"Lake, Simeon Timothy III",White
"Lamberth, Royce C.",White
"Land, Clay D.",White
"Lange, Roberto Antonio",White
"Lanza, Dominic William",White
"Laplante, Joseph Normand",White
"Larimer, David G.",White
"Larsen, Joan Louise",White
"Lasnik, Robert S.",White
"Lauck, M[ary] Hannah",White
"Laughrey, Nanette Kay",White
"Lawless, Colleen Rae",White
"Lawrence, William T.",White
"Lawson, David M.",White
"Lawson, Hugh",White
"Lazzara, Richard A.",White
"Lee, Tom Stewart",White
"Lee, William Charles",White
"Leeson, Joseph F., Jr.",White
"Lefkow, Joan Humphrey",White
"Leichty, Damon Ray",White
"Leinenweber, Harry Daniel",White
"Leitman, Matthew Frederick",White
"Lemmon, Mary Ann Vial",White
"Lenard, Joan A.",White
"Leon, Richard J.",White
"Leonard, Timothy D.",White
"Leval, Pierre Nelson",White
"Levy, Jon David",White
"Levy, Judith Ellen",White
"Lewis, Mary Geiger",White
"Liburdi, Michael Thomas",White
"Liman, Lewis Jeffrey",White
"Limbaugh, Stephen Nathaniel, Jr.",White
"Linn, Richard",White
"Lioi, Sara Elizabeth",White
"Lipez, Kermit Victor",White
"Lipman, Sheryl Halle",White
"Lisi, Mary M.",White
"Livingston, Debra Ann",White
"Locher, Stephen Henley",White
"Lodge, Edward J.",White
"Loken, James B.",White
"Longobardi, Joseph J.",White
"Longstaff, Ronald Earl",White
"Lorenz, M. James",White
"Lourie, Alan David",White
"Luck, Robert Joshua",White
"Ludington, Thomas Lamson",White
"Ludwig, Brett Harry",White
"Lungstrum, John Watson",White
"Lydon, Sherri Allen",White
"Lynch, Gerard E.",White
"Lynch, Sandra Lea",White
"Lynn, Barbara M.",White
"Magnus-Stinson, Jane Elizabeth",White
"Magnuson, Paul Arthur",White
"Mahan, James C.",White
"Maloney, Paul Lewis",White
"Maloney, Robert B.",White
"Manasco, Anna Marie",White
"Manion, Daniel Anthony",White
"Mannion, Malachy Edward",White
"Marcus, Stanley",White
"Mariani, Robert David",White
"Marks, Emily Coody",White
"Marovich, George Michael",White
"Marra, Kenneth A.",White
"Marsh, Malcolm Francis",White
"Marshall, Denzil Price, Jr.",White
"Marston, Karen Spencer",White
"Martini, William J.",White
"Martinotti, Brian R.",White
"Martone, Frederick J.",White
"Mastroianni, Mark Gerald",White
"Matey, Paul Brian",White
"Matheson, Scott Milne, Jr.",White
"Mauskopf, Roslynn Renee",White
"May, Leigh Martin",White
"Mayer, Haldane Robert",White
"Mays, Samuel H., Jr.",White
"Maze, Corey Landon",White
"Mazzant, Amos Louis III",White
"McAuliffe, Steven J.",White
"McAvoy, Thomas James",White
"McCafferty, Landya B.",White
"McCalla, Jon Phipps",White
"McConnell, John James, Jr.",White
"McDonough, Travis Randall",White
"McElroy, Mary Susan",White
"McFadden, Trevor Neil",White
"McFarland, Matthew Walden",White
"McGlynn, Stephen Patrick",White
"McHugh, Carolyn Baldwin",White
"McHugh, Gerald Austin, Jr.",White
"McKeague, David William",White
"McKeown, M. Margaret",White
"McKibben, Howard D.",White
"McKinley, Joseph H., Jr.",White
"McMahon, Colleen",White
"McNamee, Stephen M.",White
"McNeel, Taylor Brantley",White
"McNulty, Kevin",White
"McShane, Michael Jerome",White
"Means, Terry R.",White
"Melancon, Tucker L.",White
"Melgren, Eric F.",White
"Melloy, Michael Joseph",White
"Menashi, Steven James",White
"Menendez, Katherine Marie",White
"Merriam, Sarah Ann Leilani",White
"Merryday, Steven Douglas",White
"Messitte, Peter Jo",White
"Meyer, Jeffrey Alker",White
"Michelson, Laurie Jill",White
"Middlebrooks, Donald M.",White
"Mihm, Michael Martin",White
"Milazzo, Jane Margaret Triche",White
"Miller, Eric David",White
"Miller, Gray Hampton",White
"Miller, Jeffrey T.",White
"Miller, Robert Lowell, Jr.",White
"Millett, Patricia Ann",White
"Mills, Michael P.",White
"Mizelle, Kathryn Kimball",White
"Molloy, Donald W.",White
"Montecalvo, Lara Elizabeth",White
"Montgomery, Ann D.",White
"Moody, James Maxwell, Jr.",White
"Moody, James S., Jr.",White
"Moody, James Tyne",White
"Moon, Norman K.",White
"Moore, Karen Nelson",White
"Moore, Kevin Michael",White
"Moore, Kimberly Ann",White
"Moore, William Theodore, Jr.",White
"Morgan, Susie",White
"Moritz, Nancy Louise",White
"Morris, Brian Matthew",White
"Morrison, Nina Rauh",White
"Morrison, Sarah Daggett",White
"Moskowitz, Barry Ted",White
"Mosman, Michael W.",White
"Moss, Randolph Daniel",White
"Motz, Diana Jane Gribbon",White
"Mueller, Kimberly Jo",White
"Mullen, Graham Calder",White
"Munley, Julia Kathleen",White
"Murphy, Eric Earl",White
"Murphy, John Frank",White
"Murphy, Michael R.",White
"Murphy, Stephen Joseph III",White
"Murtha, John Garvan",White
"Myerscough, Sue Ellen",White
"Nachmanoff, Michael Stefan",White
"Nardacci, Anne Marie",White
"Nardini, William Joseph",White
"Nathan, Alison Julie",White
"Neff, Janet T.",White
"Nelson, Dorothy Wright",White
"Nelson, Ryan Douglas",White
"Nelson, Susan Richard",White
"Newman, Jon Ormond",White
