,Names,Race or Ethnicity
599,"Livingston, Debra Ann",White
600,"Locher, Stephen Henley",White
601,"Lodge, Edward J.",White
602,"Loken, James B.",White
603,"Longobardi, Joseph J.",White
604,"Longstaff, Ronald Earl",White
605,"Lorenz, M. James",White
606,"Lourie, Alan David",White
607,"Luck, Robert Joshua",White
608,"Ludington, Thomas Lamson",White
609,"Ludwig, Brett Harry",White
610,"Lungstrum, John Watson",White
611,"Lydon, Sherri Allen",White
612,"Lynch, Gerard E.",White
613,"Lynch, Sandra Lea",White
614,"Lynn, Barbara M.",White
615,"Magnus-Stinson, Jane Elizabeth",White
616,"Magnuson, Paul Arthur",White
617,"Mahan, James C.",White
618,"Maloney, Paul Lewis",White
619,"Maloney, Robert B.",White
620,"Manasco, Anna Marie",White
621,"Manion, Daniel Anthony",White
622,"Mannion, Malachy Edward",White
623,"Marcus, Stanley",White
624,"Mariani, Robert David",White
625,"Marks, Emily Coody",White
626,"Marovich, George Michael",White
627,"Marra, Kenneth A.",White
628,"Marsh, Malcolm Francis",White
629,"Marshall, Denzil Price, Jr.",White
630,"Marston, Karen Spencer",White
631,"Martini, William J.",White
632,"Martinotti, Brian R.",White
633,"Martone, Frederick J.",White
634,"Mastroianni, Mark Gerald",White
635,"Matey, Paul Brian",White
636,"Matheson, Scott Milne, Jr.",White
637,"Mauskopf, Roslynn Renee",White
638,"May, Leigh Martin",White
639,"Mayer, Haldane Robert",White
640,"Mays, Samuel H., Jr.",White
641,"Maze, Corey Landon",White
642,"Mazzant, Amos Louis III",White
643,"McAuliffe, Steven J.",White
644,"McAvoy, Thomas James",White
645,"McCafferty, Landya B.",White
646,"McCalla, Jon Phipps",White
647,"McConnell, John James, Jr.",White
648,"McDonough, Travis Randall",White
649,"McElroy, Mary Susan",White
650,"McFadden, Trevor Neil",White
651,"McFarland, Matthew Walden",White
652,"McGlynn, Stephen Patrick",White
653,"McHugh, Carolyn Baldwin",White
654,"McHugh, Gerald Austin, Jr.",White
655,"McKeague, David William",White
656,"McKeown, M. Margaret",White
657,"McKibben, Howard D.",White
658,"McKinley, Joseph H., Jr.",White
659,"McMahon, Colleen",White
660,"McNamee, Stephen M.",White
661,"McNeel, Taylor Brantley",White
662,"McNulty, Kevin",White
663,"McShane, Michael Jerome",White
664,"Means, Terry R.",White
665,"Melancon, Tucker L.",White
666,"Melgren, Eric F.",White
667,"Melloy, Michael Joseph",White
668,"Menashi, Steven James",White
669,"Menendez, Katherine Marie",White
670,"Merriam, Sarah Ann Leilani",White
671,"Merryday, Steven Douglas",White
672,"Messitte, Peter Jo",White
673,"Meyer, Jeffrey Alker",White
674,"Michelson, Laurie Jill",White
675,"Middlebrooks, Donald M.",White
676,"Mihm, Michael Martin",White
677,"Milazzo, Jane Margaret Triche",White
678,"Miller, Eric David",White
679,"Miller, Gray Hampton",White
680,"Miller, Jeffrey T.",White
681,"Miller, Robert Lowell, Jr.",White
682,"Millett, Patricia Ann",White
683,"Mills, Michael P.",White
684,"Mizelle, Kathryn Kimball",White
685,"Molloy, Donald W.",White
686,"Montecalvo, Lara Elizabeth",White
687,"Montgomery, Ann D.",White
688,"Moody, James Maxwell, Jr.",White
689,"Moody, James S., Jr.",White
690,"Moody, James Tyne",White
691,"Moon, Norman K.",White
692,"Moore, Karen Nelson",White
693,"Moore, Kevin Michael",White
694,"Moore, Kimberly Ann",White
695,"Moore, William Theodore, Jr.",White
696,"Morgan, Susie",White
697,"Moritz, Nancy Louise",White
698,"Morris, Brian Matthew",White
699,"Morrison, Nina Rauh",White
700,"Morrison, Sarah Daggett",White
701,"Moskowitz, Barry Ted",White
702,"Mosman, Michael W.",White
703,"Moss, Randolph Daniel",White
704,"Motz, Diana Jane Gribbon",White
705,"Mueller, Kimberly Jo",White
706,"Mullen, Graham Calder",White
707,"Munley, Julia Kathleen",White
708,"Murphy, Eric Earl",White
709,"Murphy, John Frank",White
710,"Murphy, Michael R.",White
711,"Murphy, Stephen Joseph III",White
