State,Names,Gender,Race and Ethnicity
Middle Louisiana,"Summerhays, Robert Rees",Male,White
Middle Louisiana,"Trimble, James Travis, Jr.",Male,White
Middle Louisiana,"Walter, Donald Ellsworth",Male,White
Minnesota,"Wright, Wilhelmina Marie",Female,African American
Minnesota,"Blackwell, Jerry Wayne",Male,African American
Minnesota,"Brasel, Nancy Ellen",Female,White
Minnesota,"Bryan, Jeffrey Marc",Male,Hispanic
Minnesota,"Davis, Michael James",Male,African American
Minnesota,"Doty, David Singleton",Male,White
Minnesota,"Ericksen, Joan N.",Female,White
Minnesota,"Frank, Donovan W.",Male,White
Minnesota,"Magnuson, Paul Arthur",Male,White
Minnesota,"Menendez, Katherine Marie",Female,White
Minnesota,"Schiltz, Patrick Joseph",Male,White
Minnesota,"Tostrud, Eric Christian",Male,White
Minnesota,"Tunheim, John R.",Male,White
Minnesota,"Alsop, Donald Douglas",Male,White
Minnesota,"Montgomery, Ann D.",Female,White
Minnesota,"Nelson, Susan Richard",Female,White
Montana,"Watters, Susan Pamela",Female,White
Montana,"Morris, Brian Matthew",Male,White
Montana,"Molloy, Donald W.",Male,White
Montana,"Haddon, Sam E.",Male,White
Montana,"Christensen, Dana Lewis",Male,White
Nebraska,"Rossiter, Robert F., Jr.",Male,White
Nebraska,"Kopf, Richard George",Male,White
Nebraska,"Gerrard, John Melvin",Male,White
Nebraska,"Buescher, Brian Craig",Male,White
Nebraska,"Bataillon, Joseph F.",Male,White
Nevada,"McKibben, Howard D.",Male,White
Nevada,"Mahan, James C.",Male,White
Nevada,"Jones, Robert Clive",Male,White
Nevada,"Hunt, Roger L.",Male,White
Nevada,"Hicks, Larry R.",Male,White
Nevada,"Dorsey, Jennifer Anna",Female,White
Nevada,"Boulware, Richard Franklin II",Male,African American
Nevada,"Silva, Cristina Dionne",Female,Hispanic
Nevada,"Traum, Anne Rachel",Female,White
Nevada,"Du, Miranda Mai",Female,
Nevada,"Dawson, Kent J.",Male,White
